respondent_id,age_group,region,city_tier,occupation,fashion_identity,price_sensitivity,brand_openness,online_purchase_confidence,sustainability_consciousness,purchase_frequency,preferred_shopping_channel,discovery_channel,conversion_trigger,discount_preference,owns_kurti,owns_salwar_suit,owns_palazzo,owns_indo_western,owns_night_suit,owns_bedding_set,owns_saree,owns_lehenga,fabric_preference,color_preference,monthly_income_band
ZF-0020,45-54,North_India,Tier_3,Homemaker,Comfort_First,Extremely_Price_Sensitive,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Monthly_Plus,Local_Retail,WhatsApp_Family,Friend_Wore_It,Festival_Sale,1,1,1,1,1,1,1,0,Chanderi,Bright_Vibrant,40K_70K
ZF-0021,25-34,South_India,Metro,Salaried_Private,Fusion_Lover,Extremely_Price_Sensitive,Multi_Brand_Shopper,Very_Confident,Not_Important,Every_2_3_Months,Local_Retail,Instagram_Reels,Real_Customer_Photos,Personalised_Offer,1,0,0,1,0,0,1,0,Pure_Cotton,Pastels,70K_120K
ZF-0022,25-34,West_India,Tier_3,Salaried_Govt,Comfort_First,Extremely_Price_Sensitive,Very_Loyal_One_Brand,Neutral,Very_Conscious,Festival_Only,Local_Retail,WhatsApp_Family,COD_Available,Festival_Sale,1,1,1,0,0,0,1,1,Pure_Cotton,Bold_Prints,40K_70K
ZF-0023,Under_18,Central_India,Metro,Student,Trend_First,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Somewhat_Conscious,Every_2_3_Months,Online_Marketplace,Online_Marketplace,Customer_Reviews,Festival_Sale,1,0,0,0,0,1,0,0,Pure_Cotton,Jewel_Tones,40K_70K
ZF-0024,18-24,South_India,Metro,Self_Employed,Fusion_Lover,Price_Conscious,Multi_Brand_Shopper,Not_Very_Confident,Somewhat_Conscious,Every_6_Months,Online_Marketplace,YouTube,Detailed_Size_Guide,Flat_Percent_Off,1,0,0,1,0,0,1,1,Chanderi,Pastels,Above_120K
ZF-0025,35-44,West_India,Rural,Salaried_Private,Trend_First,Balanced,Multi_Brand_Shopper,Very_Confident,Not_Important,Every_6_Months,Online_Marketplace,YouTube,Customer_Reviews,Festival_Sale,1,0,1,1,1,0,0,0,Georgette_Chiffon,Bright_Vibrant,40K_70K
ZF-0026,45-54,North_India,Tier_3,Salaried_Private,Fusion_Lover,Price_Irrelevant,Loyal_But_Open,Neutral,Not_Important,Every_6_Months,Online_Marketplace,Instagram_Reels,Customer_Reviews,Personalised_Offer,1,1,0,1,1,1,1,0,Silk_Banarasi,Neutrals,
ZF-0027,35-44,South_India,Tier_2,Student,Deeply_Traditional,Price_Conscious,Very_Loyal_One_Brand,Neutral,Very_Conscious,Every_2_3_Months,Online_Marketplace,Online_Marketplace,Friend_Wore_It,Buy2_Get1_Bundle,0,1,0,0,0,0,1,0,Pure_Cotton,Bold_Prints,20K_40K
ZF-0028,45-54,North_India,Tier_2,Retired,Comfort_First,Balanced,No_Brand_Preference,Very_Confident,Neutral,Every_6_Months,Local_Retail,WhatsApp_Family,Friend_Wore_It,Buy2_Get1_Bundle,1,1,0,0,0,1,0,1,Pure_Cotton,Bright_Vibrant,40K_70K
ZF-0029,35-44,North_India,Metro,Salaried_Private,Trend_First,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Not_Important,Festival_Only,Social_Commerce,YouTube,Free_Return_Policy,Festival_Sale,0,1,1,1,1,0,1,0,Pure_Cotton,Bright_Vibrant,70K_120K
ZF-0030,25-34,West_India,Tier_3,Salaried_Private,Trend_First,Balanced,No_Brand_Preference,Very_Confident,Somewhat_Conscious,Festival_Only,Local_Retail,WhatsApp_Family,Free_Return_Policy,Festival_Sale,1,0,0,1,1,1,0,1,Chanderi,Bold_Prints,20K_40K
ZF-0031,25-34,North_India,Metro,Salaried_Private,Fusion_Lover,Balanced,Loyal_But_Open,Very_Confident,Neutral,Festival_Only,Brand_Website,YouTube,Customer_Reviews,Free_Shipping,1,0,1,1,0,1,0,1,Georgette_Chiffon,Pastels,70K_120K
ZF-0032,35-44,South_India,Metro,Self_Employed,Trend_First,Balanced,Loyal_But_Open,Neutral,Neutral,Monthly_Plus,Weekly_Market,Instagram_Reels,Free_Return_Policy,Buy2_Get1_Bundle,1,0,0,0,0,1,1,0,Silk_Banarasi,Bright_Vibrant,70K_120K
ZF-0033,25-34,South_India,Metro,Salaried_Private,Fusion_Lover,Quality_Over_Price,Multi_Brand_Shopper,Very_Confident,Neutral,Rarely,Online_Marketplace,Instagram_Reels,First_Order_Discount,Free_Shipping,1,0,0,1,1,1,1,0,Pure_Cotton,Bright_Vibrant,40K_70K
ZF-0034,25-34,Central_India,Metro,Homemaker,Trend_First,Extremely_Price_Sensitive,Very_Loyal_One_Brand,Fairly_Confident,Neutral,Every_2_3_Months,Online_Marketplace,YouTube,First_Order_Discount,Flat_Percent_Off,1,1,1,0,1,1,1,0,Georgette_Chiffon,Bright_Vibrant,
ZF-0035,18-24,South_India,Tier_3,Student,Fusion_Lover,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Neutral,Festival_Only,Brand_Website,Instagram_Reels,Influencer_Rec,Buy2_Get1_Bundle,1,0,0,1,0,0,1,0,Pure_Cotton,Dark_Tones,70K_120K
ZF-0036,25-34,South_India,Rural,Salaried_Private,Fusion_Lover,Balanced,No_Brand_Preference,Fairly_Confident,Somewhat_Conscious,Every_2_3_Months,Online_Marketplace,Instagram_Reels,Customer_Reviews,Personalised_Offer,1,1,1,0,1,0,0,0,Pure_Cotton,Neutrals,20K_40K
ZF-0037,25-34,South_India,Rural,Salaried_Govt,Culturally_Rooted,Quality_Over_Price,Loyal_But_Open,Neutral,Very_Conscious,Rarely,Local_Retail,Walk_In_Store,Free_Return_Policy,Personalised_Offer,1,1,0,0,1,1,1,0,Rayon_Viscose,Pastels,40K_70K
ZF-0038,45-54,West_India,Metro,Self_Employed,Fusion_Lover,Price_Irrelevant,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Every_6_Months,Brand_Website,Online_Marketplace,Customer_Reviews,Festival_Sale,0,1,1,1,0,1,1,1,Silk_Banarasi,Pastels,40K_70K
ZF-0039,35-44,West_India,Rural,Homemaker,Occasion_Driven,Quality_Over_Price,Multi_Brand_Shopper,Fairly_Confident,Somewhat_Conscious,Festival_Only,Social_Commerce,Word_of_Mouth,Free_Return_Policy,Buy2_Get1_Bundle,0,1,0,0,1,1,1,1,Chanderi,Pastels,20K_40K
ZF-0040,18-24,East_India,Metro,Student,Trend_First,Balanced,Loyal_But_Open,Not_Very_Confident,Neutral,Monthly_Plus,Local_Retail,Instagram_Reels,COD_Available,Festival_Sale,1,0,1,0,0,0,0,1,Pure_Cotton,Neutrals,Above_120K
ZF-0041,35-44,West_India,Tier_2,Salaried_Govt,Culturally_Rooted,Quality_Over_Price,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Festival_Only,Online_Marketplace,YouTube,Free_Return_Policy,Free_Shipping,1,1,1,0,1,0,0,1,Pure_Cotton,Dark_Tones,20K_40K
ZF-0042,25-34,North_India,Tier_2,Self_Employed,Culturally_Rooted,Quality_Over_Price,No_Brand_Preference,Neutral,Neutral,Festival_Only,Local_Retail,YouTube,COD_Available,Loyalty_Cashback,1,1,0,0,0,1,1,1,Silk_Banarasi,Jewel_Tones,40K_70K
ZF-0043,35-44,West_India,Metro,Retired,Culturally_Rooted,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Not_Important,Festival_Only,Local_Retail,Instagram_Reels,Customer_Reviews,Personalised_Offer,1,1,1,1,1,1,1,1,Silk_Banarasi,Jewel_Tones,20K_40K
ZF-0044,25-34,South_India,Tier_3,Self_Employed,Fusion_Lover,Price_Conscious,Multi_Brand_Shopper,Not_Confident_At_All,Not_Important,Every_6_Months,Social_Commerce,Online_Marketplace,Influencer_Rec,Buy2_Get1_Bundle,1,1,1,0,1,1,1,0,Silk_Banarasi,Neutrals,70K_120K
ZF-0045,18-24,North_India,Tier_3,Salaried_Private,Trend_First,Extremely_Price_Sensitive,No_Brand_Preference,Very_Confident,Neutral,Every_2_3_Months,Online_Marketplace,Instagram_Reels,First_Order_Discount,Flat_Percent_Off,1,0,1,0,0,1,1,0,Rayon_Viscose,Jewel_Tones,
ZF-0046,35-44,East_India,Tier_3,Salaried_Govt,Deeply_Traditional,Extremely_Price_Sensitive,Loyal_But_Open,Very_Confident,Neutral,Rarely,Local_Retail,Word_of_Mouth,Customer_Reviews,Buy2_Get1_Bundle,1,1,1,0,0,0,1,1,Pure_Cotton,Bright_Vibrant,40K_70K
ZF-0047,18-24,East_India,Rural,Salaried_Govt,Fusion_Lover,Price_Conscious,Loyal_But_Open,Fairly_Confident,Neutral,Rarely,Online_Marketplace,YouTube,COD_Available,Buy2_Get1_Bundle,1,0,1,0,0,0,1,0,Silk_Banarasi,Neutrals,
ZF-0048,18-24,North_India,Tier_2,Student,Fusion_Lover,Price_Conscious,Loyal_But_Open,Very_Confident,Not_Important,Every_6_Months,Social_Commerce,WhatsApp_Family,First_Order_Discount,Free_Shipping,1,1,1,1,0,0,0,0,Pure_Cotton,Bold_Prints,70K_120K
ZF-0049,18-24,East_India,Tier_2,Homemaker,Culturally_Rooted,Price_Conscious,No_Brand_Preference,Very_Confident,Somewhat_Conscious,Festival_Only,Online_Marketplace,WhatsApp_Family,Customer_Reviews,Festival_Sale,1,0,1,0,0,0,1,1,Pure_Cotton,Bright_Vibrant,Below_20K
ZF-0050,18-24,South_India,Tier_2,Student,Trend_First,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Somewhat_Conscious,Every_2_3_Months,Online_Marketplace,Word_of_Mouth,Friend_Wore_It,Flat_Percent_Off,1,0,0,1,0,0,0,0,Georgette_Chiffon,Pastels,Below_20K
ZF-0051,35-44,West_India,Rural,Retired,Deeply_Traditional,Balanced,Very_Loyal_One_Brand,Not_Very_Confident,Not_Important,Festival_Only,Online_Marketplace,Word_of_Mouth,First_Order_Discount,Flat_Percent_Off,1,0,1,1,0,0,1,0,Georgette_Chiffon,Pastels,Below_20K
ZF-0052,18-24,East_India,Tier_3,Homemaker,Culturally_Rooted,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Somewhat_Conscious,Festival_Only,Social_Commerce,Word_of_Mouth,Influencer_Rec,Festival_Sale,1,1,0,1,1,1,0,1,Pure_Cotton,Bright_Vibrant,20K_40K
ZF-0053,45-54,North_India,Tier_2,Homemaker,Comfort_First,Price_Conscious,No_Brand_Preference,Not_Very_Confident,Not_Important,Monthly_Plus,Local_Retail,WhatsApp_Family,Customer_Reviews,Buy2_Get1_Bundle,1,1,1,0,0,0,0,1,Silk_Banarasi,Pastels,Above_120K
ZF-0054,18-24,North_India,Tier_2,Salaried_Private,Culturally_Rooted,Balanced,No_Brand_Preference,Fairly_Confident,Not_Important,Monthly_Plus,Online_Marketplace,Instagram_Reels,COD_Available,Free_Shipping,1,1,1,1,0,0,0,0,Pure_Cotton,Pastels,20K_40K
ZF-0055,18-24,West_India,Metro,Self_Employed,Fusion_Lover,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Neutral,Every_6_Months,Brand_Website,YouTube,Real_Customer_Photos,Loyalty_Cashback,0,1,0,1,1,0,1,0,Georgette_Chiffon,Pastels,70K_120K
ZF-0056,45-54,East_India,Tier_3,Self_Employed,Trend_First,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Somewhat_Conscious,Every_6_Months,Online_Marketplace,WhatsApp_Family,Friend_Wore_It,Free_Shipping,1,0,0,0,0,1,1,0,Pure_Cotton,Jewel_Tones,
ZF-0057,18-24,East_India,Tier_2,Salaried_Private,Trend_First,Price_Conscious,Multi_Brand_Shopper,Fairly_Confident,Not_Important,Every_6_Months,Local_Retail,Online_Marketplace,Free_Return_Policy,Buy2_Get1_Bundle,1,1,1,0,0,0,1,0,Rayon_Viscose,Pastels,Below_20K
ZF-0058,18-24,North_India,Tier_3,Student,Deeply_Traditional,Price_Conscious,Loyal_But_Open,Neutral,Neutral,Every_6_Months,Local_Retail,Online_Marketplace,First_Order_Discount,Flat_Percent_Off,1,1,0,1,0,1,0,0,Pure_Cotton,Dark_Tones,20K_40K
ZF-0059,18-24,North_India,Metro,Salaried_Govt,Deeply_Traditional,Balanced,Very_Loyal_One_Brand,Very_Confident,Neutral,Festival_Only,Local_Retail,Word_of_Mouth,Customer_Reviews,Flat_Percent_Off,0,1,0,1,1,0,0,1,Georgette_Chiffon,Bold_Prints,20K_40K
ZF-0060,18-24,West_India,Tier_2,Salaried_Private,Trend_First,Price_Conscious,Loyal_But_Open,Fairly_Confident,Neutral,Every_2_3_Months,Online_Marketplace,Instagram_Reels,Influencer_Rec,Festival_Sale,1,1,0,1,1,0,0,0,Rayon_Viscose,Pastels,20K_40K
ZF-0061,25-34,South_India,Rural,Student,Deeply_Traditional,Price_Conscious,Loyal_But_Open,Very_Confident,Neutral,Rarely,Social_Commerce,Instagram_Reels,Customer_Reviews,Loyalty_Cashback,0,1,1,1,1,0,0,0,Pure_Cotton,Bold_Prints,40K_70K
ZF-0062,25-34,East_India,Rural,Salaried_Private,Culturally_Rooted,Extremely_Price_Sensitive,Loyal_But_Open,Very_Confident,Very_Conscious,Every_6_Months,Local_Retail,Online_Marketplace,First_Order_Discount,Free_Shipping,1,1,1,1,0,0,0,1,Pure_Cotton,Pastels,Above_120K
ZF-0063,35-44,North_East_India,Metro,Homemaker,Culturally_Rooted,Quality_Over_Price,Loyal_But_Open,Very_Confident,Somewhat_Conscious,Every_6_Months,Brand_Website,YouTube,COD_Available,Buy2_Get1_Bundle,1,1,1,0,1,1,0,1,Georgette_Chiffon,Jewel_Tones,40K_70K
ZF-0064,25-34,South_India,Metro,Student,Fusion_Lover,Extremely_Price_Sensitive,Very_Loyal_One_Brand,Very_Confident,Somewhat_Conscious,Monthly_Plus,Social_Commerce,Instagram_Reels,First_Order_Discount,Loyalty_Cashback,1,1,1,1,1,0,0,0,Silk_Banarasi,Bright_Vibrant,20K_40K
ZF-0065,25-34,North_East_India,Metro,Self_Employed,Fusion_Lover,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Somewhat_Conscious,Monthly_Plus,Online_Marketplace,WhatsApp_Family,Detailed_Size_Guide,Personalised_Offer,1,0,1,0,1,1,1,1,Rayon_Viscose,Bright_Vibrant,70K_120K
ZF-0066,25-34,South_India,Tier_2,Retired,Comfort_First,Price_Conscious,Loyal_But_Open,Neutral,Not_Important,Festival_Only,Weekly_Market,Walk_In_Store,Free_Return_Policy,Festival_Sale,1,1,1,1,1,0,1,0,Silk_Banarasi,Jewel_Tones,40K_70K
ZF-0067,25-34,West_India,Rural,Homemaker,Comfort_First,Price_Conscious,Loyal_But_Open,Neutral,Neutral,Monthly_Plus,Social_Commerce,Instagram_Reels,COD_Available,Free_Shipping,1,0,1,0,1,1,0,0,Pure_Cotton,Dark_Tones,Below_20K
ZF-0068,25-34,West_India,Metro,Homemaker,Occasion_Driven,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Somewhat_Conscious,Every_6_Months,Online_Marketplace,Instagram_Reels,Friend_Wore_It,Loyalty_Cashback,0,1,0,0,1,1,1,1,Rayon_Viscose,Jewel_Tones,70K_120K
ZF-0069,35-44,North_India,Tier_3,Homemaker,Culturally_Rooted,Price_Conscious,Loyal_But_Open,Not_Confident_At_All,Neutral,Rarely,Social_Commerce,TV_Print,COD_Available,Loyalty_Cashback,1,1,0,0,0,1,0,0,Pure_Cotton,Pastels,20K_40K
ZF-0070,18-24,North_India,Metro,Salaried_Private,Fusion_Lover,Quality_Over_Price,No_Brand_Preference,Fairly_Confident,Somewhat_Conscious,Every_2_3_Months,Mall_Store,Instagram_Reels,Customer_Reviews,Loyalty_Cashback,1,0,0,1,0,0,0,1,Rayon_Viscose,Pastels,20K_40K
ZF-0071,25-34,East_India,Tier_3,Homemaker,Comfort_First,Extremely_Price_Sensitive,Loyal_But_Open,Neutral,Neutral,Every_2_3_Months,Online_Marketplace,Word_of_Mouth,Friend_Wore_It,Buy2_Get1_Bundle,1,1,1,0,1,1,1,1,Rayon_Viscose,Neutrals,Below_20K
ZF-0072,45-54,North_India,Tier_3,Self_Employed,Trend_First,Price_Conscious,Multi_Brand_Shopper,Neutral,Neutral,Festival_Only,Social_Commerce,Word_of_Mouth,Real_Customer_Photos,Festival_Sale,0,1,0,0,1,1,0,0,Pure_Cotton,Pastels,Below_20K
ZF-0073,25-34,East_India,Tier_2,Salaried_Private,Culturally_Rooted,Price_Conscious,Multi_Brand_Shopper,Very_Confident,Very_Conscious,Monthly_Plus,Brand_Website,Instagram_Reels,Detailed_Size_Guide,Loyalty_Cashback,0,0,0,1,1,0,0,0,Rayon_Viscose,Bold_Prints,40K_70K
ZF-0074,45-54,Central_India,Rural,Salaried_Private,Culturally_Rooted,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Not_Important,Rarely,Local_Retail,Instagram_Reels,Customer_Reviews,Personalised_Offer,0,0,1,1,1,0,0,0,Pure_Cotton,Dark_Tones,
ZF-0075,18-24,North_India,Tier_3,Retired,Culturally_Rooted,Extremely_Price_Sensitive,No_Brand_Preference,Neutral,Somewhat_Conscious,Festival_Only,Local_Retail,Online_Marketplace,Influencer_Rec,Buy2_Get1_Bundle,0,1,1,1,0,1,1,1,Silk_Banarasi,Neutrals,40K_70K
ZF-0076,45-54,Central_India,Metro,Self_Employed,Comfort_First,Price_Conscious,Loyal_But_Open,Fairly_Confident,Neutral,Every_6_Months,Social_Commerce,WhatsApp_Family,Influencer_Rec,Free_Shipping,0,1,0,1,1,1,1,1,Silk_Banarasi,Bright_Vibrant,40K_70K
ZF-0077,55+,West_India,Metro,Self_Employed,Culturally_Rooted,Price_Irrelevant,Loyal_But_Open,Very_Confident,Somewhat_Conscious,Every_2_3_Months,Brand_Website,WhatsApp_Family,COD_Available,Festival_Sale,1,1,1,1,1,0,1,0,Georgette_Chiffon,Neutrals,70K_120K
ZF-0078,35-44,East_India,Tier_2,Homemaker,Culturally_Rooted,Price_Conscious,Multi_Brand_Shopper,Not_Very_Confident,Neutral,Every_2_3_Months,Local_Retail,Word_of_Mouth,Free_Return_Policy,Buy2_Get1_Bundle,1,1,1,0,0,0,1,1,Rayon_Viscose,Neutrals,40K_70K
ZF-0079,35-44,North_East_India,Tier_2,Salaried_Private,Fusion_Lover,Quality_Over_Price,Loyal_But_Open,Fairly_Confident,Very_Conscious,Every_2_3_Months,Online_Marketplace,Online_Marketplace,First_Order_Discount,Personalised_Offer,1,1,0,0,1,0,1,0,Silk_Banarasi,Jewel_Tones,70K_120K
ZF-0080,35-44,East_India,Tier_2,Salaried_Govt,Occasion_Driven,Extremely_Price_Sensitive,Multi_Brand_Shopper,Fairly_Confident,Very_Conscious,Festival_Only,Online_Marketplace,Instagram_Reels,Detailed_Size_Guide,Buy2_Get1_Bundle,1,1,1,0,1,0,1,0,Pure_Cotton,Bright_Vibrant,40K_70K
ZF-0081,45-54,South_India,Metro,Salaried_Private,Deeply_Traditional,Extremely_Price_Sensitive,Very_Loyal_One_Brand,Not_Very_Confident,Not_Important,Monthly_Plus,Social_Commerce,Instagram_Reels,Friend_Wore_It,Buy2_Get1_Bundle,1,1,0,0,1,0,1,1,Pure_Cotton,Neutrals,40K_70K
ZF-0082,18-24,East_India,Metro,Student,Fusion_Lover,Price_Irrelevant,Loyal_But_Open,Very_Confident,Somewhat_Conscious,Every_6_Months,Brand_Website,WhatsApp_Family,First_Order_Discount,Personalised_Offer,1,1,1,1,0,1,0,1,Georgette_Chiffon,Jewel_Tones,20K_40K
ZF-0083,35-44,West_India,Tier_2,Salaried_Private,Culturally_Rooted,Price_Conscious,Multi_Brand_Shopper,Fairly_Confident,Neutral,Festival_Only,Brand_Website,YouTube,Customer_Reviews,Personalised_Offer,1,1,1,1,0,0,1,1,Silk_Banarasi,Bright_Vibrant,Below_20K
ZF-0084,25-34,East_India,Rural,Homemaker,Culturally_Rooted,Balanced,Multi_Brand_Shopper,Neutral,Neutral,Festival_Only,Weekly_Market,Word_of_Mouth,First_Order_Discount,Free_Shipping,1,0,1,1,0,1,1,0,Georgette_Chiffon,Pastels,Below_20K
ZF-0085,35-44,Central_India,Tier_2,Retired,Deeply_Traditional,Quality_Over_Price,Loyal_But_Open,Neutral,Not_Important,Every_6_Months,Online_Marketplace,Word_of_Mouth,Friend_Wore_It,Loyalty_Cashback,0,1,0,0,1,1,1,1,Georgette_Chiffon,Neutrals,Above_120K
ZF-0086,18-24,South_India,Tier_3,Homemaker,Trend_First,Price_Conscious,Loyal_But_Open,Neutral,Neutral,Festival_Only,Online_Marketplace,Word_of_Mouth,First_Order_Discount,Buy2_Get1_Bundle,1,1,0,1,1,1,1,1,Pure_Cotton,Jewel_Tones,20K_40K
ZF-0087,35-44,South_India,Metro,Homemaker,Culturally_Rooted,Extremely_Price_Sensitive,Very_Loyal_One_Brand,Fairly_Confident,Neutral,Festival_Only,Social_Commerce,Instagram_Reels,Friend_Wore_It,Flat_Percent_Off,0,0,1,1,0,1,0,1,Linen,Bright_Vibrant,20K_40K
ZF-0088,25-34,North_India,Metro,Salaried_Private,Fusion_Lover,Balanced,Multi_Brand_Shopper,Fairly_Confident,Somewhat_Conscious,Every_6_Months,Online_Marketplace,Instagram_Reels,Detailed_Size_Guide,Free_Shipping,1,1,0,1,0,0,1,0,Rayon_Viscose,Bright_Vibrant,20K_40K
